NAME,USstate,NumOfPlayer
Alabama,AL,1
Alaska,AK,2
Arizona,AZ,2
Arkansas,AR,0
California,CA,13
Colorado,CO,7
Connecticut,CT,9
Delaware,DE,0
Florida,FL,6
Georgia,GA,0
Hawaii,HI,0
Idaho,ID,0
Illinois,IL,18
Indiana,IN,2
Iowa,IA,0
Kansas,KS,0
Kentucky,KY,0
Louisiana,LA,0
Maine,ME,1
Maryland,MD,0
Massachusetts,MA,25
Michigan,MI,37
Minnesota,MN,54
Mississippi,MS,0
Missouri,MO,9
Montana,MT,0
Nebraska,NE,0
Nevada,NV,0
New Hampshire,NH,4
New Jersey,NJ,9
New Mexico,NM,0
New York,NY,32
North Carolina,NC,2
North Dakota,ND,1
Ohio,OH,4
Oklahoma,OK,1
Oregon,OR,0
Pennsylvania,PA,5
Rhode Island,RI,1
South Carolina,SC,1
South Dakota,SD,0
Tennessee,TN,0
Texas,TX,5
Utah,UT,2
Vermont,VT,0
Virginia,VA,1
Washington,WA,5
West Virginia,WV,0
Wisconsin,WI,13
Wyoming,WY,0
